# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
5.675495069839048945e+00 3.329043254323905465e+00 9.740833817595972999e-01 1.185389807321979284e+09 6.823026059256471854e+01 9.477825237250009360e-01 -9.969368800441127387e-01 1.826765748937657863e+00 8.575275055979362904e+00 4.872660333305440794e-01 5.081229801696931503e-01 -1.032690999999999985e+04
1.390112181023484661e+00 2.149005422147735267e+00 3.149628380078575707e-01 1.185389807328549862e+09 5.628135961869509174e+01 5.738590768271213394e-01 -9.959237226011723454e-01 2.431797286988967244e+00 8.396904923662402709e+00 2.812515918255241720e-01 1.382930878154715049e-01 -1.032689999999999964e+04
2.840681528197642081e+00 2.334606050980901681e+00 4.468297199771785744e-01 1.185389807334093332e+09 4.988122126134675938e+01 4.353821006509970282e-01 -9.097958307317268734e-01 2.840278228677095118e+00 8.327205492996631264e+00 3.884019903526787498e-01 5.430974612487696751e-01 -1.032685000000000036e+04
9.342675425753776963e-01 2.687858786440636916e+00 7.017068824013993344e-01 1.185389807331149340e+09 5.690412448442400972e+01 7.912646226073275502e-01 -5.875478649107825913e-01 2.291429314130299488e+00 8.059630483442182580e+00 3.156966353923458257e-01 1.589054019621862213e-01 -1.032685000000000036e+04
4.154311978899104751e+00 4.825414306982780843e+00 -1.943467613696768514e-01 1.185389807298438787e+09 5.822616296088202148e+01 6.610073891962376935e-01 -6.968007204104378349e-01 2.242853519701255571e+00 8.464641576769153630e+00 7.748228118351372373e-01 1.716481014772130997e-01 -1.032684000000000015e+04
4.833142761186151937e+00 5.613982868850375674e+00 -1.137344308519261382e+00 1.185389807295758247e+09 6.081742438708565146e+01 8.148425871679186860e-01 9.602199801682285152e-01 1.476145663890812809e+00 8.466797720599981147e+00 6.875189429610611969e-01 7.737668650930342729e-01 -1.032682999999999993e+04
4.758731557632398079e+00 4.538040328784985533e+00 1.558142247222395194e-02 1.185389807305025339e+09 5.590595749737731524e+01 7.564271273664815443e-01 -5.489513810388966242e-01 1.829555647630414672e+00 7.562925962155573778e+00 6.228519385528819008e-01 5.526210459679221643e-01 -1.032679999999999927e+04
4.066176228960966199e+00 2.828732900253729809e+00 8.277868793598384123e-01 1.185389807334931612e+09 4.931261835827965001e+01 8.060336299961086137e-01 -9.141830954751383187e-01 5.749197284204600189e-01 8.659392268267133375e+00 1.945228055245524779e-01 4.094101736746941222e-01 -1.032679000000000087e+04
3.658543216029157108e+00 3.406843893803103374e+00 8.212612444964516589e-01 1.185389807322836161e+09 6.520764825595720993e+01 6.492179711525194463e-01 -3.257396628179870524e-01 1.861831314565572271e+00 8.032784473566273675e+00 7.352315395809450038e-01 5.900003596094118841e-01 -1.032678000000000065e+04
7.742725182997637345e-01 2.335751633310710229e+00 6.490588822651087719e-01 1.185389807335024834e+09 5.512133172134491588e+01 9.481569975480316215e-01 8.582793339415015765e-01 2.398766036963764670e+00 8.761195963682819610e+00 7.162190073171792459e-01 4.280735415201663008e-01 -1.032676000000000022e+04
5.489775826262308200e+00 4.765237881120488517e+00 -5.741862086521558328e-02 1.185389807288879156e+09 5.209909945559447664e+01 3.211652417263820558e-01 -8.880517842870186418e-02 2.352113199936039845e+00 7.123716300017588487e+00 2.840631777885629927e-01 2.164865631289119297e-01 -1.032670000000000073e+04
5.847380939447376136e+00 2.779020897164649062e-01 -1.202011175162893908e+00 1.185389807294078827e+09 6.448386842011751696e+01 8.778683056004243923e-01 -7.107734404165170217e-01 1.090255128003811302e+00 8.099026465562008781e+00 3.954978995801107233e-01 3.378287499275919314e-01 -1.032668000000000029e+04
5.753061199706210438e+00 2.190716244579133054e+00 3.342170677268236356e-01 1.185389807328281641e+09 5.903079067283025694e+01 5.803573466495510758e-01 -9.622461285999203140e-01 8.176657940821511206e-01 8.558169134028103642e+00 4.025856341521494297e-01 3.114130761234398803e-01 -1.032667000000000007e+04
2.590108564684702408e+00 4.834460529830592712e+00 -3.118981772145864584e-01 1.185389807291926384e+09 6.410936276719831994e+01 6.263633362290349504e-01 -9.000056888875097583e-01 2.049012025981783669e+00 8.140137030539204233e+00 3.598830265186577226e-01 7.858328464501952437e-01 -1.032664999999999964e+04
5.387634406230763062e+00 5.015455341960021407e+00 -8.774914288863272516e-01 1.185389807289721966e+09 5.749292087474331936e+01 5.417790824676003147e-01 4.179788084506835810e-01 7.061226859594839089e-01 8.021733541274384649e+00 4.888770176408372969e-01 7.426825995352628329e-01 -1.032662000000000080e+04
3.826004338649098280e+00 2.393674157783124201e+00 6.363258216928761035e-01 1.185389807327025652e+09 4.014921079820606309e+01 2.400267771675865247e-01 8.027964582514734992e-01 3.490864589969674969e-01 7.831926487770172862e+00 9.919574944974794695e-02 2.760698975220349793e-01 -1.032659000000000015e+04
1.837702020042620621e+00 4.988297467917539585e+00 -4.733098589794153543e-01 1.185389807288390636e+09 5.792297422298382514e+01 4.862476693498404834e-01 -9.634991318349828138e-01 1.340134281893607948e+00 8.394228255752839374e+00 2.927006236162817410e-01 4.086371356508115005e-01 -1.032659000000000015e+04
1.629044446054561224e+00 4.962413484635593619e+00 -2.686085359674547646e-01 1.185389807296508551e+09 5.057310883914168187e+01 4.490814534325052731e-01 7.843490117447831089e-01 2.015279145939639971e+00 7.861735789328324842e+00 4.498411391177539187e-01 1.261672959546391790e-02 -1.032654999999999927e+04
4.036933750414016586e+00 2.021441131103434152e+00 1.109218038987488525e-01 1.185389807334218264e+09 5.568233336327081417e+01 7.109694992664664648e-01 9.933996737035962754e-01 2.775144574235142159e+00 8.476723068020028506e+00 7.784453969557652009e-01 6.553140359804291437e-01 -1.032654000000000087e+04
6.056604487658348468e+00 2.129885166586190426e+00 6.145721791182041233e-02 1.185389807329273701e+09 6.204366538251601781e+01 8.579493262432246192e-01 -6.408429519540952413e-01 9.168442692785018500e-02 8.126204818777686967e+00 7.151349213949795836e-01 4.262323538283437907e-01 -1.032652000000000044e+04
